Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7,btc_market_price_lag1,btc_market_price_lag7,btc_market_price_lag14,btc_market_price_lag30,btc_market_price_ma7,btc_market_price_ma14,btc_market_price_ma30,btc_market_price_std7,btc_market_price_std14,btc_market_price_std30,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,btc_trade_volume_log,btc_transaction_fees_log,btc_output_volume_log,btc_estimated_transaction_volume_log
2016-06-02,539.99,15613450.0,26922628.8648,0.826838398551,9.86666666667,1367284.2132,58.53519721,8.19810523257,392655.0,231099.0,2342608.49727,351602.348236,575.2941375,539.47,452.49,441.87,450.96,520.0914285714285,482.2657142857143,467.21,24.041360491574654,42.637898402949816,32.15980635556968,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.10847774982662,4.086567687402901,14.666776035767466,12.770258967603334
2016-06-03,568.0,15617000.0,60092817.477,0.832558443662,9.63333333333,1406915.63967,54.69656979,8.72491744389,402066.0,234669.0,1938990.17389,285960.790354,577.549875,539.99,470.29,441.25,447.37,534.05,491.31928571428574,471.23099999999994,17.884252849926803,46.53734124571683,36.8001529560185,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,17.911400899470415,4.019918561374409,14.477678382326857,12.563613480715855
2016-06-04,573.74,15619975.0,45168189.7968,0.840556008403,10.6166666667,1179034.93747,46.44371282,8.81459901758,368869.0,196665.0,1493595.27664,234022.94647,594.4399875,568.0,522.43,443.89,448.51,541.38,500.5942857142857,475.4053333333333,22.298162854073276,49.21983023043286,40.99721855437938,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,17.625903653625183,3.859544015117768,14.21669737833027,12.363178724445815
2016-06-05,574.02,15624225.0,30675648.696,0.613488467836,6.53333333333,1694243.48158,44.3641164,13.0133176756,368586.0,190528.0,1835595.21509,243799.137336,664.8465,573.74,512.16,438.0,460.91,550.2171428571429,510.31,479.17566666666664,21.008505987090565,49.33827613839246,44.65602686925103,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,17.238979728320658,3.8147214048610874,14.422879899553642,12.404104059343341
2016-06-06,584.5,15628475.0,34509545.4635,0.7054571,6.51666666667,1684335.62496,52.13956486,11.3694859437,414350.0,221171.0,1964198.18425,304809.721312,702.0665,574.02,525.15,442.17,459.04,558.6957142857143,520.4764285714285,483.35766666666666,21.181333651075466,48.879412152952376,48.42119717383355,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.356746552811646,3.9729217517396163,14.490595180396692,12.627446277084141
2016-06-07,577.54,15631975.0,47316934.322,0.802703760563,9.93333333333,1406915.63967,56.5104784,8.72785410376,424994.0,248576.0,2321510.8989,359673.252282,685.241875,584.5,531.15,445.34,457.82,565.3228571428572,529.9192857142857,487.34833333333336,18.16957595752497,45.92802286258977,51.10305160490388,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.67237883001516,4.051967164244359,14.657729211951269,12.79295404603187
2016-06-08,578.68,15635575.0,28300189.1564,0.802240027778,7.91666666667,1403462.33971,50.40981971,9.18710735071,401953.0,229933.0,2004179.70546,309158.946699,692.289625,577.54,539.47,447.94,461.63,570.9242857142857,539.2578571428571,491.25,14.555708911105455,41.0047481638247,53.484604681451714,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.15837908189831,3.9398291991559926,14.510745909506836,12.641614048814919
2016-06-09,575.2941375,15639700.0,30222288.2144,0.720621090909,7.08333333333,1608133.93092,53.21550949,10.1999490881,426447.0,236353.0,2095207.93461,367269.629204,762.43005,578.68,539.99,452.49,450.0,575.9677339285714,548.02958125,495.42647124999996,5.087942514313544,33.45583804541438,55.0222689666962,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.224090263574535,3.992967020463683,14.555163836489761,12.813854264559279
2016-06-10,577.549875,15643300.0,24377615.4694,0.822652541667,8.68333333333,1403462.33971,52.81223012,9.2686709326,407301.0,228367.0,2301811.95545,382778.512444,743.9164,575.2941375,568.0,470.29,452.51,577.3320017857143,555.6910008928572,499.5944670833333,3.681321164222342,25.656087339023458,56.378437014577315,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,17.009175911421767,3.9855007669837357,14.649207611900202,12.855214416867442
2016-06-11,594.4399875,15647200.0,24538115.3284,0.696120801282,7.61,1520417.53468,46.24529278,11.0934518568,374995.0,213159.0,1894576.34459,274453.721982,754.36625,577.549875,573.74,522.43,454.7,580.2891428571428,560.8345714285714,504.2524666666667,7.069661333734573,25.69324059691535,58.28188557846429,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,17.015738235066994,3.8553530252732773,14.454506334466506,12.522541579084171
2016-06-12,664.8465,15650850.0,143472595.475,0.830047534247,8.25,1422954.8722,52.42482099,11.7081534945,411623.0,210711.0,2831538.69084,448636.761599,760.8168,594.4399875,574.02,512.16,456.82,593.2643571428571,571.74075,511.18668333333335,32.22843429525681,34.380109531048426,64.48861734248807,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,18.78165460959674,3.9782754505210765,14.856331182039728,13.013971074072634
2016-06-13,702.0665,15654875.0,146971122.839,0.915602751553,9.7,1569148.86592,38.86224972,11.3715193501,451922.0,251354.0,2757346.67011,275333.91153,729.192585714,664.8465,584.5,525.15,455.65,610.0595714285713,584.3776428571429,519.4005666666667,51.669735881847274,46.36338357940975,72.38103582556133,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.805746688977454,3.685429753733838,14.8297797865567,12.525743495767731
2016-06-14,685.241875,15658175.0,84746672.7106,0.955535954887,12.92,1296253.41098,69.86384675,9.38388558208,420352.0,247632.0,2362492.05778,364359.356024,665.9586125,702.0665,577.54,531.15,457.08,625.4455535714286,595.3842053571428,527.0059625,56.20843168586198,50.83057293887105,77.41862050251513,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.255177055202093,4.260760384585367,14.675227999839898,12.805898645979797
2016-06-15,692.289625,15661975.0,48065817.394,0.918202246753,14.13,1500925.00219,84.56662361,10.4213331812,445830.0,262510.0,2323706.83883,335983.668375,587.4542375,685.241875,578.68,539.47,454.88,641.6755,606.2998928571429,534.9196166666667,56.8529704769107,54.19682336269367,81.8015677637545,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.68808184615495,4.449295296014468,14.658674674262016,12.724820808067959
2016-06-16,762.43005,15665700.0,169439516.676,0.957703718121,9.66,1452193.67095,82.29665972,10.9127722491,471278.0,267870.0,2796295.72029,565034.586124,624.542,692.289625,575.2941375,539.99,452.89,668.4092017857143,622.1884678571429,545.2376183333333,63.98685007153719,64.82533471698005,90.18978126282991,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.94800659323636,4.422408448969034,14.8438064998418,13.244643992435416
2016-06-17,743.9164,15669425.0,128874495.581,0.930753738255,9.3,1452193.67095,78.90209509,11.174764403,453509.0,253752.0,2774465.08796,417385.47881,660.60465,762.43005,577.549875,568.0,452.9,692.1758482142858,634.753925,554.9381649999999,54.860196915215354,70.3294673471482,95.41483059721995,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,18.674349594035768,4.380802073830206,14.835968885916142,12.941767879257709
2016-06-18,754.36625,15673375.0,85041797.5195,0.868547924528,7.75,1549656.33343,70.82066566,12.9803363084,423334.0,236291.0,2345533.81651,274046.631205,664.9068875,743.9164,594.4399875,573.74,441.87,715.0224571428572,647.6558000000001,565.3547066666667,38.12134586076812,74.70713777767273,99.61092032303986,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,18.258653440874753,4.274172257203885,14.668024000601255,12.52105720677699
2016-06-19,760.8168,15677800.0,40868096.6248,0.723107564972,6.0,1725089.12589,63.14349102,15.7503823471,414283.0,218298.0,2011496.98885,201638.940654,627.3926125,754.36625,664.8465,574.02,441.25,728.7325,660.9984285714285,576.0069333333333,34.115393148158624,77.1840229644747,102.9139382177593,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,17.525860307473998,4.161122620909826,14.51439027054548,12.21423891387992
2016-06-20,729.192585714,15681900.0,36207387.1844,0.78029272561,8.6,1598387.66467,76.7711358,12.4615978885,465928.0,249334.0,2647568.48398,292302.474418,646.7030125,760.8168,702.0665,584.5,443.89,732.607655102,671.3336132652857,585.5170195238001,32.06030419728026,75.82817778983534,103.46493484743866,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.40477374946347,4.353770357203524,14.789152601242668,12.585547837508338
2016-06-21,665.9586125,15685625.0,149642818.365,0.914910006711,9.56666666667,1551383.97529,76.28917579,10.2926945958,468641.0,248164.0,2849547.25254,467412.094482,646.378475,729.192585714,685.241875,577.54,438.0,729.8529033162857,677.6492284438572,593.1156399404666,37.22148972618467,70.93989542766533,100.58830353112508,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.82376180825176,4.347553917198549,14.86267103180043,13.054968716274269
2016-06-22,587.4542375,15688850.0,106868002.098,0.945643806202,12.6333333333,1343144.51552,78.85018659,8.2722090387,422909.0,235641.0,2712263.6756,487842.33334,637.959625,665.9586125,692.289625,578.68,442.17,714.8764193877142,678.2759596938571,597.9584478571334,65.33114422816925,70.03121449451564,96.4840667596338,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.48710501498918,4.38015221141471,14.813294517528202,13.097749595053772
2016-06-23,624.542,15692350.0,145480129.316,0.919795857143,9.78333333333,1457676.21839,75.30395381,9.27223150126,431633.0,241300.0,3159340.6434,487129.616153,671.407925,587.4542375,762.43005,575.2941375,445.34,695.1781265305715,681.7936641581429,603.9318478571333,69.27210933254045,65.55424432820169,92.15989261683657,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.795550073848403,4.334724756213895,14.965874223160954,13.096287571756998
2016-06-24,660.60465,15695575.0,117308802.548,0.943101961538,11.25,1353556.48851,74.41897823,9.1834555437,437104.0,238888.0,2799621.35999,332485.112538,675.1863375,624.542,743.9164,577.549875,447.94,683.276447959143,687.7261480867144,611.0206695237999,66.6084417787799,58.80551515723971,87.82442055590738,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,18.58032036236758,4.3230589440057425,14.84499509461732,12.714353371402781
