Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7
2016-04-25,463.86,15472950.0,36817995.5136,0.874485094488,9.68333333333,1128032.65011,43.29847026,6.8616128055,407004.0,217564.0,2719385.88903,362233.460775,443.9
2016-04-26,467.98,15476725.0,34854624.5998,0.813179688742,7.75,1341204.17454,337.75639818,7.67590591773,436154.0,250744.0,2770136.73431,363972.8546,450.96
2016-04-27,447.31,15479950.0,42654741.3584,0.875343317829,10.3666666667,1145796.94382,46.11149971,6.11105680011,392821.0,239435.0,2485051.2243,374368.934634,447.37
2016-04-28,450.0,15483325.0,38051508.648,0.898219029412,10.0,1207843.18309,49.62034503,6.26112759841,374956.0,247958.0,2696032.68218,381601.835588,448.51
2016-04-29,456.16,15487275.0,21063414.658,0.812847462025,7.43333333333,1403229.58036,49.9195874,6.96721952845,426515.0,261884.0,2522444.20247,438620.934341,460.91
2016-04-30,447.17,15490925.0,17046473.3408,0.757548506849,7.31666666667,1296655.18185,40.87923127,7.65117594685,371890.0,215712.0,1899766.44961,272053.687169,459.04
2016-05-01,451.9,15494800.0,10517715.5446,0.6257176,7.55,1376585.98073,34.50281105,9.22898354654,370083.0,191430.0,1879509.59913,188817.04325,457.82
2016-05-02,443.9,15498725.0,34283316.48,0.751085471338,8.25,1394348.38048,45.13159943,7.87515435345,391943.0,223785.0,2450687.78289,322725.397457,461.63
2016-05-03,450.96,15502500.0,23866897.4145,0.778229668874,7.34166666667,1341061.18123,44.86828296,7.31129880813,374677.0,235609.0,2273860.03891,321842.012062,450.0
2016-05-04,447.37,15506675.0,18922797.276,0.708722011905,7.35,1492041.57911,47.17185349,8.13130976863,394207.0,233693.0,2276697.82564,433078.246458,452.51
2016-05-05,448.51,15510550.0,19214683.7397,0.706327083333,7.33333333333,1385467.18061,44.25636722,7.70595273063,374537.0,229580.0,2161647.02471,287908.009572,454.7
2016-05-06,460.91,15514600.0,32475379.4496,0.685889277778,6.51666666667,1438754.37986,44.519552,8.09153549561,375533.0,233232.0,2321255.50011,325669.746514,456.82
2016-05-07,459.04,15518350.0,15060351.768,0.646522553333,7.93333333333,1332179.98135,37.61683514,8.60462448161,337042.0,202062.0,1893689.36015,221270.860311,455.65
2016-05-08,457.82,15522500.0,12940418.121,0.584654595092,6.86666666667,1447635.57974,34.18113678,10.138203447,349946.0,185562.0,1603646.25087,158286.44614,457.08
2016-05-09,461.63,15526825.0,23824164.1218,0.637889537572,7.0,1536447.57849,40.4654474,8.90033922978,405580.0,226451.0,2062357.44784,299718.531891,454.88
2016-05-10,450.0,15530775.0,28095275.361,0.726908981013,7.83333333333,1403229.58036,48.10185732,7.32190507036,405856.0,245721.0,2211911.67399,340831.621227,452.89
