,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
btc_difficulty,0.9006726601361164,0.4837476384503456,0.9023555406177991,0.7650977717180387,0.8204234392477893,0.6802549893947154,-0.09852483998434099,0.6311386631878951,0.3369942141596652,0.9910851246959554,1.0,0.838145459927431,0.721366722147285,-0.014009224500183987,0.7187475348054844,0.7161369532870997,0.6429282366251724,0.8232311096870727,0.6380813646336225,0.6633165923718031,0.13898220891604576,0.06559031390808304,0.8349173300397011
btc_miners_revenue,0.9854031104430181,0.39630039234609327,0.9839901663574439,0.8679127367306392,0.6418704091320303,0.520797669226956,-0.05937232833321156,0.5055230966483877,0.25006102093091104,0.8536517465932751,0.838145459927431,1.0,0.7825704466298559,-0.013078708772783713,0.8533288147989563,0.6401494779953407,0.5414554180901782,0.6473341448561974,0.530401464800333,0.5313144319746963,0.0992201358214201,0.04319511508394573,0.9563428903844959
btc_transaction_fees,0.7788955147204906,0.47342235642585073,0.7787822033211508,0.6990800878335841,0.7317823457452556,0.649222487184162,-0.09712133908090428,0.6714229974749603,0.4175710076849246,0.7118681602704116,0.721366722147285,0.7825704466298559,1.0,-0.017195462635901267,0.5638807572916462,0.7320232545865938,0.6855457196352897,0.7366914677920624,0.6710747198740087,0.6916189968065071,0.18211509819500468,0.10693197006330912,0.8094832478548981
btc_cost_per_transaction_percent,-0.012414498641910252,-0.07073278619794504,-0.011904005823812402,-0.00882881801745811,-0.026882804430037897,-0.03302383738488887,-0.014057790498956856,-0.032466081809080276,-0.049654597585905916,-0.01369747474756002,-0.014009224500183987,-0.013078708772783713,-0.017195462635901267,1.0,-0.022506998981409725,-0.030942592402070365,-0.032743067881741576,-0.02744955012773848,-0.030288251911417808,-0.030210003426536645,-0.02239197136146003,-0.024775027506241266,-0.011964789674905715
btc_cost_per_transaction,0.8309426578775541,0.3841297007866261,0.8222439373866284,0.7068294661043806,0.48173015347339065,0.361896349275922,-0.0029398312023927137,0.32015161342480297,0.17892717833501234,0.7278387725645042,0.7187475348054844,0.8533288147989563,0.5638807572916462,-0.022506998981409725,1.0,0.4590607188757968,0.34960488940584017,0.49184112261396573,0.3445077525413675,0.3478403027911028,0.005001509875528841,-0.021968571374535763,0.7501243222718467
btc_n_unique_addresses,0.6611981667172594,0.8242295184115177,0.6579465800762915,0.5370558920059295,0.9598696278450234,0.9664397263704001,0.11734681041552569,0.966198040633012,0.5149623886886074,0.7116800582007374,0.7161369532870997,0.6401494779953407,0.7320232545865938,-0.030942592402070365,0.4590607188757968,1.0,0.9821521391031409,0.9595987736883982,0.9813595913568007,0.9733432972408479,0.28302735026681836,0.17424825609641933,0.6831990368603801
btc_n_transactions,0.5645407115885013,0.8355013379488005,0.5617119008828937,0.4486032614812919,0.9399092057327056,0.9745070622592945,0.10441648375472691,0.9806791028532765,0.5466351870152455,0.6387292614208727,0.6429282366251724,0.5414554180901782,0.6855457196352897,-0.032743067881741576,0.34960488940584017,0.9821521391031409,1.0,0.9387750660390466,0.9931357844765586,0.9890905045455688,0.3088777912424815,0.19429009658570764,0.5941533114169228
btc_n_transactions_total,0.6985334318581469,0.784217208193512,0.6968283824992854,0.549726400454905,0.9997956436186954,0.953758242717888,0.04437851494678173,0.9342114690090788,0.5072070078813902,0.8105009619701065,0.8232311096870727,0.6473341448561974,0.7366914677920624,-0.02744955012773848,0.49184112261396573,0.9595987736883982,0.9387750660390466,1.0,0.9399722322194715,0.9514430528192125,0.24246534101284337,0.14637753537900589,0.6877489931901757
btc_n_transactions_excluding_popular,0.5541859084241156,0.8175706834169566,0.5513732023057846,0.438015515935077,0.9419043683428208,0.9728463316175195,0.11212787335065683,0.9763834683179023,0.5119643286563461,0.6331568901848758,0.6380813646336225,0.530401464800333,0.6710747198740087,-0.030288251911417808,0.3445077525413675,0.9813595913568007,0.9931357844765586,0.9399722322194715,1.0,0.9871618329094661,0.29331645539266826,0.18722783552615785,0.5828130063208559
btc_n_transactions_excluding_chains_longer_than_100,0.5655218989319918,0.803895570234861,0.5629811549463463,0.4481480064972609,0.9526079329694341,0.9669784421892643,0.06963729034849142,0.9750268822119116,0.5361652866784687,0.6555613436992336,0.6633165923718031,0.5313144319746963,0.6916189968065071,-0.030210003426536645,0.3478403027911028,0.9733432972408479,0.9890905045455688,0.9514430528192125,0.9871618329094661,1.0,0.27918549559808664,0.18335921123799148,0.5912474072760473
btc_output_volume,0.1053195475996848,0.2899808068591155,0.10589300169832541,0.09051196039256064,0.24423480824369542,0.2912401608203153,-0.00672117470417808,0.29603536524477714,0.3065466540140427,0.13709434665035067,0.13898220891604576,0.0992201358214201,0.18211509819500468,-0.02239197136146003,0.005001509875528841,0.28302735026681836,0.3088777912424815,0.24246534101284337,0.29331645539266826,0.27918549559808664,1.0,0.27160718454756133,0.13581147120050424
btc_estimated_transaction_volume,0.04490273773938521,0.21128114058667538,0.04529917344184878,0.05145574363804413,0.14748654891012855,0.1866226468803378,0.018008077536701347,0.18646711645269104,0.2142342358252964,0.06528690736577096,0.06559031390808304,0.04319511508394573,0.10693197006330912,-0.024775027506241266,-0.021968571374535763,0.17424825609641933,0.19429009658570764,0.14637753537900589,0.18722783552615785,0.18335921123799148,0.27160718454756133,1.0,0.08441999964813936
btc_estimated_transaction_volume_usd,0.9600155295078171,0.3988403951846659,0.9599323540760721,0.8875076488066868,0.6834148259222542,0.5643245703502813,-0.08617768954631931,0.5641960792146602,0.2839665480856427,0.8431741733906425,0.8349173300397011,0.9563428903844959,0.8094832478548981,-0.011964789674905715,0.7501243222718467,0.6831990368603801,0.5941533114169228,0.6877489931901757,0.5828130063208559,0.5912474072760473,0.13581147120050424,0.08441999964813936,1.0
